pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid
8dt8	H	NA	0	A	protein	NA	spike glycoprotein	VIRAL PROTEIN	06/14/23	LM18/Nb136 bispecific tetra-nanobody immunoglobulin in complex with SARS-CoV-2-6P-Mut7 S protein (focused refinement)	Severe acute respiratory syndrome coronavirus 2; synthetic construct	synthetic construct		severe acute respiratory syndrome coronavirus2 	Ozorowski, G., Turner, H.L., Ward, A.B.	3.34	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	NA	NA	None	None	None	None	None
8dt8	D	NA	0	A | B	protein | protein	NA | NA	spike glycoprotein | spike glycoprotein	VIRAL PROTEIN	06/14/23	LM18/Nb136 bispecific tetra-nanobody immunoglobulin in complex with SARS-CoV-2-6P-Mut7 S protein (focused refinement)	Severe acute respiratory syndrome coronavirus 2; synthetic construct	synthetic construct		severe acute respiratory syndrome coronavirus2  | severe acute respiratory syndrome coronavirus2 	Ozorowski, G., Turner, H.L., Ward, A.B.	3.34	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	NA	NA	None	None	None	None	None
8jlz	N	NA	0	A | B	protein | protein	NA | NA	guanine nucleotide-binding protein g(s) subunit alphaisoforms short  | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	MEMBRANE PROTEIN	06/28/23	ST1936-5HT6R complex	Camelus bactrianus; Homo sapiens	camelus bactrianus		homo sapiens | homo sapiens	Wen, X., Sun, J.	3.09	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	NA	NA	None	None	None	None	None
8h4i	D	NA	0	A | B	protein | protein	NA | NA	engineered mini galpha-s subunit | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	MEMBRANE PROTEIN/IMMUNE SYSTEM	06/21/23	DHA-bound FFAR4 in complex with Gs	Homo sapiens; Lama glama	lama glama		homo sapiens | homo sapiens	He, Y., Yin, H.	3.06	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	NA	NA	None	None	None	None	None
8h4k	N	NA	0	A | B	protein | protein	NA | NA	engineered mini galpha-q subunit | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	MEMBRANE PROTEIN/IMMUNE SYSTEM	06/21/23	GW9508-bound FFAR4 in complex with Gq	Homo sapiens; Lama glama	lama glama		homo sapiens | homo sapiens	He, Y., Yin, H.	3.1	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	NA	NA	None	None	None	None	None
8h4l	N	NA	0	A | B	protein | protein	NA | NA	engineered mini galpha-q subunit | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	MEMBRANE PROTEIN/IMMUNE SYSTEM	06/21/23	DHA-bound FFAR4 in complex with Gq	Homo sapiens; Lama glama	lama glama		homo sapiens | homo sapiens	He, Y., Yin, H.	3.07	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	NA	NA	None	None	None	None	None
8hbv	B	NA	0	A	protein	NA	mitochondrial brown fat uncoupling protein 1	MEMBRANE PROTEIN	06/21/23	Structure of human UCP1 in the nucleotide-free state	Homo sapiens; SYNTHETIC CONSTRUCT	synthetic construct		homo sapiens	Chen, L., Kang, Y.	2.51	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	NA	NA	None	None	None	None	None
8hbw	B	NA	0	A	protein	NA	mitochondrial brown fat uncoupling protein 1	MEMBRANE PROTEIN	06/21/23	Structure of human UCP1 in the ATP-bound state	Homo sapiens; SYNTHETIC CONSTRUCT	synthetic construct		homo sapiens	Chen, L., Kang, Y.	2.57	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	NA	NA	None	None	None	None	None
8hmp	N	NA	0	A | B	protein | protein	NA | NA	guanine nucleotide-binding protein g(s) subunit alphaisoforms short  | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	STRUCTURAL PROTEIN	06/21/23	GPR52 with Gs and c17	Homo sapiens	homo sapiens		homo sapiens | homo sapiens	Chen, B., Xu, F.	2.77	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	NA	NA	None	None	None	None	None
8irr	N	NA	0	A | B	protein | protein	NA | NA	guanine nucleotide-binding protein g(s) subunit alphaisoforms short  | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	MEMBRANE PROTEIN	06/21/23	Dopamine Receptor D1R-Gs-Rotigotine complex	Homo sapiens; Lama glama	lama glama		homo sapiens | homo sapiens	Xu, P., Huang, S., Zhuang, Y., Mao, C., Zhang, Y., Wang, Y., Li, H., Jiang, Y., Zhang, Y., Xu, H.E.	3.2	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	NA	NA	None	None	None	None	None
8j1n	B	NA	0	A	protein	NA	mitochondrial brown fat uncoupling protein 1	MEMBRANE PROTEIN	06/21/23	Structure of human UCP1 in the DNP-bound state	Homo sapiens; SYNTHETIC CONSTRUCT	synthetic construct		homo sapiens	Chen, L., Kang, Y.	2.51	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	NA	NA	None	None	None	None	None
8gw8	N	NA	0	A | B	protein | protein	NA | NA	isoform gnas-2 of guanine nucleotide-binding protein g(s)subunit alpha isoforms short  | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	SIGNALING PROTEIN	06/14/23	the human PTH1 receptor bound to an intracellular biased agonist	Bos taurus; Homo sapiens; Rattus norvegicus; unidentified	unidentified		homo sapiens | rattus norvegicus	Kobayashi, K., Kusakizako, T., Okamoto, H.H., Nureki, O.	2.9	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	NA	NA	None	None	None	None	None
7y3g	N	NA	0	A | B	protein | protein	NA | NA	guanine nucleotide-binding protein g(s) subunit alphaisoforms short  | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	MEMBRANE PROTEIN	06/07/23	Cryo-EM structure of a class A orphan GPCR	Homo sapiens; Lama glama	lama glama		homo sapiens | homo sapiens	Liu, Z.J., Hua, T., Li, H., Zhang, J.Y., Luo, F.	2.77	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	NA	NA	None	None	None	None	None
8g8w	B	NA	0	A	protein	NA	mitochondrial brown fat uncoupling protein 1	MEMBRANE PROTEIN	06/07/23	Molecular mechanism of nucleotide inhibition of human uncoupling protein 1	Escherichia coli (strain K12); Homo sapiens; synthetic construct	synthetic construct, escherichia coli (straink12) 		homo sapiens	Gogoi, P., Jones, S.A., Ruprecht, J.J., King, M.S., Lee, Y., Zogg, T., Pardon, E., Chand, D., Steimle, S., Copeman, D., Cotrim, C.A., Steyaert, J., Crichton, P.G., Moiseenkova-Bell, V., Kunji, E.R.S.	3.8	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	NA	NA	None	None	None	None	None
8g8w	C	NA	0	A	protein	NA	mitochondrial brown fat uncoupling protein 1	MEMBRANE PROTEIN	06/07/23	Molecular mechanism of nucleotide inhibition of human uncoupling protein 1	Escherichia coli (strain K12); Homo sapiens; synthetic construct	synthetic construct, escherichia coli (straink12) 		homo sapiens	Gogoi, P., Jones, S.A., Ruprecht, J.J., King, M.S., Lee, Y., Zogg, T., Pardon, E., Chand, D., Steimle, S., Copeman, D., Cotrim, C.A., Steyaert, J., Crichton, P.G., Moiseenkova-Bell, V., Kunji, E.R.S.	3.8	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	NA	NA	None	None	None	None	None
8g2y	N	NA	0	A | B	protein | protein	NA | NA	minig alpha s/q chimera | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	SIGNALING PROTEIN	05/10/23	Cryo-EM structure of ADGRF1 coupled to miniGs/q	Homo sapiens; Lama glama	lama glama		homo sapiens | homo sapiens	Jones, D., Rawson, S., Blacklow, S.	3.44	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	NA	NA	None	None	None	None	None
8flq	N	NA	0	A | G | B	protein | protein | protein	NA | NA | NA	guanine nucleotide-binding protein g(s) subunit alphaisoforms short  | guanine nucleotide-binding protein g(i)/g(s)/g(o) subunitgamma-2  | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	MEMBRANE PROTEIN	04/26/23	Human PTH1R in complex with PTH(1-34) and Gs	Homo sapiens; Lama glama; SYNTHETIC CONSTRUCT	lama glama		homo sapiens | homo sapiens | homo sapiens	Cary, B.P., Belousoff, M.J., Piper, S.J., Wootten, D., Sexton, P.M.	0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	NA	NA	None	None	None	None	None
8flr	N	NA	0	A | G | B	protein | protein | protein	NA | NA | NA	guanine nucleotide-binding protein g(s) subunit alphaisoforms short  | guanine nucleotide-binding protein g(i)/g(s)/g(o) subunitgamma-2  | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	MEMBRANE PROTEIN	04/26/23	Human PTH1R in complex with PTHrP and Gs	Homo sapiens; Lama glama; SYNTHETIC CONSTRUCT	lama glama		homo sapiens | homo sapiens | homo sapiens	Cary, B.P., Belousoff, M.J., Piper, S.J., Wootten, D., Sexton, P.M.	0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	NA	NA	None	None	None	None	None
8fls	N	NA	0	A | B	protein | protein	NA | NA	guanine nucleotide-binding protein g(s) subunit alphaisoforms short  | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	MEMBRANE PROTEIN	04/26/23	Human PTH1R in complex with Abaloparatide and Gs	Homo sapiens; Lama glama; SYNTHETIC CONSTRUCT	lama glama		homo sapiens | homo sapiens	Cary, B.P., Belousoff, M.J., Piper, S.J., Wootten, D., Sexton, P.M.	0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	NA	NA	None	None	None	None	None
8flt	N	NA	0	A | B	protein | protein	NA | NA	guanine nucleotide-binding protein g(s) subunit alphaisoforms short  | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	MEMBRANE PROTEIN	04/26/23	Human PTH1R in complex with M-PTH(1-14) and Gs	Homo sapiens; Lama glama; SYNTHETIC CONSTRUCT	lama glama		homo sapiens | homo sapiens	Cary, B.P., Belousoff, M.J., Piper, S.J., Wootten, D., Sexton, P.M.	3.03	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	NA	NA	None	None	None	None	None
