pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid
8g4m	D	E	0	A | C	protein | protein	NA | NA	envelope glycoprotein gp41 | envelope glycoprotein gp120	ANTIVIRAL PROTEIN	07/12/23	Vaccine-elicited human antibody 2C06 in complex with HIV-1 envelope trimer BG505 DS-SOSIP	Homo sapiens; Human immunodeficiency virus 1	homo sapiens	homo sapiens	human immunodeficiency virus 1 | human immunodeficiency virus 1	Wang, S., Kwong, P.D.	2.95	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
8g4m	H	L	0	F | I	protein | protein	NA | NA	envelope glycoprotein gp41 | envelope glycoprotein gp120	ANTIVIRAL PROTEIN	07/12/23	Vaccine-elicited human antibody 2C06 in complex with HIV-1 envelope trimer BG505 DS-SOSIP	Homo sapiens; Human immunodeficiency virus 1	homo sapiens	homo sapiens	human immunodeficiency virus 1 | human immunodeficiency virus 1	Wang, S., Kwong, P.D.	2.95	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
8g4m	J	K	0	B | G	protein | protein	NA | NA	envelope glycoprotein gp41 | envelope glycoprotein gp120	ANTIVIRAL PROTEIN	07/12/23	Vaccine-elicited human antibody 2C06 in complex with HIV-1 envelope trimer BG505 DS-SOSIP	Homo sapiens; Human immunodeficiency virus 1	homo sapiens	homo sapiens	human immunodeficiency virus 1 | human immunodeficiency virus 1	Wang, S., Kwong, P.D.	2.95	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
8g4t	H	L	0	F | I	protein | protein	NA | NA	envelope glycoprotein bg505 ds-sosip gp41 | envelope glycoprotein bg505 ds-sosip gp120	VIRAL PROTEIN/IMMUNE SYSTEM	07/12/23	Vaccine-elicited human antibody 2C09 in complex with HIV-1 envelope trimer BG505 DS-SOSIP	Homo sapiens; Human immunodeficiency virus 1	homo sapiens	homo sapiens	human immunodeficiency virus 1 | human immunodeficiency virus 1	Wang, S., Kwong, P.D.	2.81	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
8g4t	D	E	0	A | C	protein | protein	NA | NA	envelope glycoprotein bg505 ds-sosip gp41 | envelope glycoprotein bg505 ds-sosip gp120	VIRAL PROTEIN/IMMUNE SYSTEM	07/12/23	Vaccine-elicited human antibody 2C09 in complex with HIV-1 envelope trimer BG505 DS-SOSIP	Homo sapiens; Human immunodeficiency virus 1	homo sapiens	homo sapiens	human immunodeficiency virus 1 | human immunodeficiency virus 1	Wang, S., Kwong, P.D.	2.81	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
8g4t	J	K	0	B | G	protein | protein	NA | NA	envelope glycoprotein bg505 ds-sosip gp41 | envelope glycoprotein bg505 ds-sosip gp120	VIRAL PROTEIN/IMMUNE SYSTEM	07/12/23	Vaccine-elicited human antibody 2C09 in complex with HIV-1 envelope trimer BG505 DS-SOSIP	Homo sapiens; Human immunodeficiency virus 1	homo sapiens	homo sapiens	human immunodeficiency virus 1 | human immunodeficiency virus 1	Wang, S., Kwong, P.D.	2.81	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
8iuk	E	E	0	A	protein	NA	g subunit alpha (q)	MEMBRANE PROTEIN	07/12/23	Cryo-EM structure of the PGF2-alpha-bound human PTGFR-Gq complex	Homo sapiens; Lama glama; Mus musculus	mus musculus		homo sapiens	Wu, C., Xu, Y., Xu, H.E.	2.67	ELECTRON MICROSCOPY	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
8iuk	N	NA	0	A | B	protein | protein	NA | NA	g subunit alpha (q) | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	MEMBRANE PROTEIN	07/12/23	Cryo-EM structure of the PGF2-alpha-bound human PTGFR-Gq complex	Homo sapiens; Lama glama; Mus musculus	lama glama		homo sapiens | homo sapiens	Wu, C., Xu, Y., Xu, H.E.	2.67	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	NA	NA	None	None	None	None	None
8ium	E	E	0	A	protein	NA	g subunit alpha (q)	MEMBRANE PROTEIN	07/12/23	Cryo-EM structure of the tafluprost acid-bound human PTGFR-Gq complex	Homo sapiens; Lama glama; Mus musculus	mus musculus		homo sapiens	Wu, C., Xu, Y., Xu, H.E.	3.14	ELECTRON MICROSCOPY	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
8ium	N	NA	0	A | B	protein | protein	NA | NA	g subunit alpha (q) | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	MEMBRANE PROTEIN	07/12/23	Cryo-EM structure of the tafluprost acid-bound human PTGFR-Gq complex	Homo sapiens; Lama glama; Mus musculus	lama glama		homo sapiens | homo sapiens	Wu, C., Xu, Y., Xu, H.E.	3.14	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	NA	NA	None	None	None	None	None
